,sudoku,fitness
0,"[[6 8 7 9 3 5 1 2 4]
 [3 9 5 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [3 7 9 2 5 1 6 4 8]
 [6 4 3 2 8 5 7 1 9]
 [9 5 7 4 1 6 2 8 3]
 [1 4 6 7 8 3 5 9 2]]",14
1,"[[6 8 7 9 3 5 1 2 4]
 [3 8 5 1 2 4 9 6 7]
 [9 1 4 2 6 7 8 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [3 7 9 2 5 1 6 4 8]
 [8 7 3 2 9 5 4 1 6]
 [9 2 5 4 1 6 7 8 3]
 [1 4 6 7 8 3 5 9 2]]",11
2,"[[6 8 7 9 3 5 1 2 4]
 [3 5 9 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 1 2 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [7 3 9 2 5 1 6 4 8]
 [8 7 3 5 6 9 2 1 4]
 [9 5 2 4 1 6 7 8 3]
 [1 4 6 7 8 3 5 9 2]]",10
3,"[[6 8 7 9 3 5 1 2 4]
 [3 5 9 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 1 2 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [7 3 9 2 5 1 6 4 8]
 [8 7 3 5 6 9 2 1 4]
 [9 5 2 4 1 6 7 8 3]
 [1 4 6 7 8 3 5 9 2]]",10
4,"[[6 8 7 9 3 5 1 2 4]
 [3 5 9 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [7 3 9 2 5 1 6 4 8]
 [8 7 3 2 6 9 5 1 4]
 [9 5 2 4 1 6 7 8 3]
 [1 4 6 7 8 3 5 9 2]]",9
5,"[[6 8 7 9 3 5 1 2 4]
 [3 5 9 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [3 7 9 2 5 1 6 4 8]
 [7 4 3 5 9 2 8 1 6]
 [9 2 5 4 1 6 7 8 3]
 [1 4 6 7 8 3 5 9 2]]",7
6,"[[7 8 6 9 3 5 1 2 4]
 [3 9 5 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [3 7 9 2 5 1 6 4 8]
 [7 3 8 5 9 2 4 1 6]
 [9 5 2 4 1 6 7 8 3]
 [1 4 7 6 8 3 5 9 2]]",6
7,"[[7 8 6 9 3 5 1 2 4]
 [3 9 5 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [3 7 9 2 5 1 6 4 8]
 [7 3 8 5 9 2 4 1 6]
 [9 5 2 4 1 6 7 8 3]
 [1 4 7 6 8 3 5 9 2]]",6
8,"[[7 8 6 9 3 5 1 2 4]
 [3 9 5 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [3 7 9 2 5 1 6 4 8]
 [7 3 8 5 9 2 4 1 6]
 [9 5 2 4 1 6 7 8 3]
 [1 4 7 6 8 3 5 9 2]]",6
9,"[[6 8 7 9 3 5 1 2 4]
 [3 9 5 1 2 4 8 6 7]
 [2 1 4 8 6 7 9 3 5]
 [5 2 1 6 4 8 3 7 9]
 [4 6 8 3 7 9 2 5 1]
 [7 3 9 2 5 1 6 4 8]
 [7 8 3 5 9 2 4 1 6]
 [9 5 2 4 1 6 7 8 3]
 [1 4 6 7 8 3 5 9 2]]",2
