,sudoku,fitness
0,"[[4 1 9 2 3 5 6 7 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 1 6 9 5 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 5 7 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",5
1,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 5 7 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 4 7 1 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",4
2,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
3,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
4,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
5,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
6,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
7,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
8,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
9,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 7 5 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",2
10,"[[4 1 9 2 3 7 6 5 8]
 [8 5 6 4 1 9 7 3 2]
 [2 3 7 8 5 6 9 1 4]
 [5 7 2 1 6 8 4 9 3]
 [1 6 8 3 9 4 2 7 5]
 [3 9 4 5 7 2 8 6 1]
 [7 4 3 6 2 5 1 8 9]
 [9 8 1 7 4 3 5 2 6]
 [6 2 5 9 8 1 3 4 7]]",0
