,iteracion,path,distancia
0,0,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
1,1,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
2,2,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
3,3,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
4,4,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
5,5,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
6,6,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
7,7,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
8,8,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
9,9,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
10,10,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
11,11,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
12,12,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
13,13,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
14,14,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
15,15,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
16,16,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
17,17,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
18,18,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
19,19,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
20,20,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
21,21,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
22,22,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
23,23,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
24,24,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
25,25,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
26,26,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
27,27,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
28,28,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
29,29,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
30,30,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
31,31,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
32,32,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
33,33,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
34,34,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
35,35,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
36,36,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
37,37,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
38,38,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
39,39,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
40,40,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
41,41,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
42,42,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
43,43,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
44,44,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
45,45,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
46,46,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
47,47,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
48,48,['F' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'I'],330
49,49,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
50,50,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
51,51,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
52,52,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
53,53,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
54,54,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
55,55,['I' 'B' 'D' 'J' 'G' 'E' 'C' 'A' 'H' 'F'],295
